chr start end p_value_phase1_common p_value_phase2_common common_fisher p_value_phase1_rare p_value_phase2_rare rare_fisher
1 752750 755214 >0.999 0.404623807420591 0.770726422524317 0.618295270865363 0.688484377103147 0.789245072215794
1 761585 762902 >0.999 0.42348542349343 0.787359423019898 0.655108121455559 0.689064562846352 0.810453577234718
1 762970 794826 0.549910412377105 0.630021411124216 0.713698464367317 0.807597759655163 0.155327898237534 0.385849485710113
1 803450 812182 0.328792100388063 0.807171826571247 0.617446670107208 0.397165851085574 0.819067551707298 0.690620679621627
1 852197 855072 0.860655803048642 0.26229791354672 0.561737192705638 0.186244561945603 0.528678392248382 0.326708665596778
1 861120 879961 >0.999 0.300111984642573 0.661326646863607 0.597391892339017 0.351770755288112 0.537962266598094
1 879582 894679 0.0779505934622379 0.125861515230422 0.0551794339041523 0.429099822082806 0.0659282985771289 0.129150197118341
1 895966 901099 0.0684063379483785 0.144213942693072 0.0554297706996778 0.390616251140151 0.585149408498697 0.565917711513401
1 901876 910484 0.278872205910192 0.860020394674725 0.582273514663723 >0.999 0.256780712915515 0.605882518500361
1 910578 917497 0.863987380409824 0.566938894764184 0.83941875475822 0.201707904465933 0.297678455592811 0.228928691133903
1 934341 935552 >0.999 0.774930287596922 0.972523721175603 0.2024325104476 0.603905708641595 0.37918156663022
1 948846 949919 0.548104482750725 0.760043651632421 0.781372342479312 0.808931653928303 0.371633010440921 0.661944521993125
1 955502 991499 >0.999 0.0934758138514185 0.315018404976844 0.706917668604611 0.75885872252322 0.870541757768544
1 995113 1001833 NA NA NA 0.203359191835487 0.680207329737239 0.411955295399392
1 1007125 1009687 NA NA NA 0.693323514651311 0.108322274920349 0.269535160054106
1 1017197 1051736 0.691231352265156 0.482245457406808 0.699548246691846 0.40478230107423 0.104788667743587 0.176462189951426
1 1072396 1079434 >0.999 0.365888665986837 0.733762710887507 0.867804697040517 0.23187319472501 0.523848421455532
1 1102483 1102578 >0.999 0.0889308298721408 0.304134225272774 0.320094298605136 0.678813157385531 0.548979233835907
1 1103242 1103332 0.681297385756812 0.074325480149462 0.201693107740378 0.544141780184487 0.577888360050713 0.678250404059727
